mts,ts_utc,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,raw
1785283500000,2026-07-29T00:05:00+00:00,9.6e-07,88.4,6064718175.788103,5981054802.942582,532305289.9560116,"[1785283500000, null, null, 9.6e-07, 88.4, null, null, 6064718175.788103, 5981054802.942582, null, null, 532305289.9560116]"
1785294300000,2026-07-29T03:05:00+00:00,9.5e-07,88.9,6060313391.277025,5974845054.677933,533317546.09793836,"[1785294300000, null, null, 9.5e-07, 88.9, null, null, 6060313391.277025, 5974845054.677933, null, null, 533317546.09793836]"
1785305100000,2026-07-29T06:05:00+00:00,9.5e-07,88.61,6065341008.238661,5974597183.194924,529539009.40673465,"[1785305100000, null, null, 9.5e-07, 88.61, null, null, 6065341008.238661, 5974597183.194924, null, null, 529539009.40673465]"
1785315900000,2026-07-29T09:05:00+00:00,9.5e-07,88.44,6065514282.063187,5974273010.620127,520466713.6152866,"[1785315900000, null, null, 9.5e-07, 88.44, null, null, 6065514282.063187, 5974273010.620127, null, null, 520466713.6152866]"
1785323100000,2026-07-29T11:05:00+00:00,9.5e-07,86.26,6058900038.763916,5974127143.20705,527699790.9669772,"[1785323100000, null, null, 9.5e-07, 86.26, null, null, 6058900038.763916, 5974127143.20705, null, null, 527699790.9669772]"
1785330300000,2026-07-29T13:05:00+00:00,9.5e-07,86.29,6057609830.440852,5972522594.606648,529747142.12681144,"[1785330300000, null, null, 9.5e-07, 86.29, null, null, 6057609830.440852, 5972522594.606648, null, null, 529747142.12681144]"
1785337500000,2026-07-29T15:05:00+00:00,9.5e-07,86.78,6063291608.956134,5972516851.453408,533514554.6799321,"[1785337500000, null, null, 9.5e-07, 86.78, null, null, 6063291608.956134, 5972516851.453408, null, null, 533514554.6799321]"
